configuration,block,group,channel,estimated_effective_levels
g8_4_4,7,1,100,91
g8_4_4,7,1,101,3
g8_4_4,7,1,102,86
g8_4_4,7,1,103,34
g8_4_4,7,1,104,44
g8_4_4,7,1,105,48
g8_4_4,7,1,106,3
g8_4_4,7,1,107,4
g8_4_4,7,1,108,60
g8_4_4,7,1,109,2
g8_4_4,7,1,110,47
g8_4_4,7,1,111,184
g8_4_4,7,1,112,59
g8_4_4,7,1,113,71
g8_4_4,7,1,114,83
g8_4_4,7,1,115,51
g8_4_4,7,1,116,65
g8_4_4,7,1,117,57
g8_4_4,7,1,118,66
g8_4_4,7,1,119,3
g8_4_4,7,1,120,51
g8_4_4,7,1,121,50
g8_4_4,7,1,122,36
g8_4_4,7,1,123,49
g8_4_4,7,1,124,113
g8_4_4,7,1,125,47
g8_4_4,7,1,126,81
g8_4_4,7,1,127,13
g8_4_4 + b3_g4,1,1,31,86
g8_4_4 + b3_g4,1,1,7,112
g8_4_4 + b3_g4,1,1,17,164
g8_4_4 + b3_g4,1,1,24,197
g8_4_4 + b3_g4,1,2,28,127
g8_4_4 + b3_g4,1,2,30,147
g8_4_4 + b3_g4,1,2,1,157
g8_4_4 + b3_g4,1,2,21,255
g8_4_4 + b3_g4,1,3,5,176
g8_4_4 + b3_g4,1,3,9,189
g8_4_4 + b3_g4,1,3,4,223
g8_4_4 + b3_g4,1,3,3,254
g8_4_4 + b3_g4,1,4,11,128
g8_4_4 + b3_g4,1,4,6,136
g8_4_4 + b3_g4,1,4,13,151
g8_4_4 + b3_g4,1,4,8,172
g8_4_4 + b3_g4,1,5,25,120
g8_4_4 + b3_g4,1,5,18,171
g8_4_4 + b3_g4,1,5,16,188
g8_4_4 + b3_g4,1,5,19,255
g8_4_4 + b3_g4,1,6,26,157
g8_4_4 + b3_g4,1,6,2,172
g8_4_4 + b3_g4,1,6,20,227
g8_4_4 + b3_g4,1,6,0,256
g8_4_4 + b3_g4,1,7,22,175
g8_4_4 + b3_g4,1,7,14,223
g8_4_4 + b3_g4,1,7,27,236
g8_4_4 + b3_g4,1,7,23,255
g8_4_4 + b3_g4,1,8,15,88
g8_4_4 + b3_g4,1,8,10,98
g8_4_4 + b3_g4,1,8,29,124
g8_4_4 + b3_g4,1,8,12,256
g8_4_4 + b3_g4,2,1,28,37
g8_4_4 + b3_g4,2,1,9,73
g8_4_4 + b3_g4,2,1,29,78
g8_4_4 + b3_g4,2,1,11,123
g8_4_4 + b3_g4,2,1,24,144
g8_4_4 + b3_g4,2,1,14,159
g8_4_4 + b3_g4,2,1,25,197
g8_4_4 + b3_g4,2,1,0,255
g8_4_4 + b3_g4,2,2,13,87
g8_4_4 + b3_g4,2,2,31,89
g8_4_4 + b3_g4,2,2,10,93
g8_4_4 + b3_g4,2,2,2,94
g8_4_4 + b3_g4,2,2,5,96
g8_4_4 + b3_g4,2,2,27,110
g8_4_4 + b3_g4,2,2,17,112
g8_4_4 + b3_g4,2,2,3,255
g8_4_4 + b3_g4,2,3,7,40
g8_4_4 + b3_g4,2,3,16,46
g8_4_4 + b3_g4,2,3,15,58
g8_4_4 + b3_g4,2,3,12,92
g8_4_4 + b3_g4,2,3,26,107
g8_4_4 + b3_g4,2,3,1,109
g8_4_4 + b3_g4,2,3,23,176
g8_4_4 + b3_g4,2,3,22,256
g8_4_4 + b3_g4,2,4,18,86
g8_4_4 + b3_g4,2,4,20,140
g8_4_4 + b3_g4,2,4,6,150
g8_4_4 + b3_g4,2,4,21,185
g8_4_4 + b3_g4,2,4,8,197
g8_4_4 + b3_g4,2,4,30,210
g8_4_4 + b3_g4,2,4,19,210
g8_4_4 + b3_g4,2,4,4,256
g8_4_4 + b3_g4,3,1,33,74
g8_4_4 + b3_g4,3,1,15,80
g8_4_4 + b3_g4,3,1,35,83
g8_4_4 + b3_g4,3,1,25,88
g8_4_4 + b3_g4,3,1,38,90
g8_4_4 + b3_g4,3,1,44,100
g8_4_4 + b3_g4,3,1,39,104
g8_4_4 + b3_g4,3,1,9,107
g8_4_4 + b3_g4,3,1,0,108
g8_4_4 + b3_g4,3,1,16,111
g8_4_4 + b3_g4,3,1,23,113
g8_4_4 + b3_g4,3,1,37,126
g8_4_4 + b3_g4,3,2,42,116
g8_4_4 + b3_g4,3,2,19,119
g8_4_4 + b3_g4,3,2,32,131
g8_4_4 + b3_g4,3,2,17,143
g8_4_4 + b3_g4,3,2,24,152
g8_4_4 + b3_g4,3,2,40,157
g8_4_4 + b3_g4,3,2,34,161
g8_4_4 + b3_g4,3,2,2,164
g8_4_4 + b3_g4,3,2,46,167
g8_4_4 + b3_g4,3,2,8,169
g8_4_4 + b3_g4,3,2,26,195
g8_4_4 + b3_g4,3,2,47,204
g8_4_4 + b3_g4,3,3,27,154
g8_4_4 + b3_g4,3,3,14,160
g8_4_4 + b3_g4,3,3,41,171
g8_4_4 + b3_g4,3,3,5,180
g8_4_4 + b3_g4,3,3,29,197
g8_4_4 + b3_g4,3,3,43,205
g8_4_4 + b3_g4,3,3,31,213
g8_4_4 + b3_g4,3,3,10,220
g8_4_4 + b3_g4,3,3,30,233
g8_4_4 + b3_g4,3,3,6,237
g8_4_4 + b3_g4,3,3,7,244
g8_4_4 + b3_g4,3,3,20,253
g8_4_4 + b3_g4,3,4,22,9
g8_4_4 + b3_g4,3,4,45,10
g8_4_4 + b3_g4,3,4,13,12
g8_4_4 + b3_g4,3,4,4,12
g8_4_4 + b3_g4,3,4,12,13
g8_4_4 + b3_g4,3,4,36,23
g8_4_4 + b3_g4,3,4,18,34
g8_4_4 + b3_g4,3,4,28,46
g8_4_4 + b3_g4,3,4,11,66
g8_4_4 + b3_g4,3,4,1,146
g8_4_4 + b3_g4,3,4,3,177
g8_4_4 + b3_g4,3,4,21,256
g8_4_4 + b3_g4,4,1,0,61
g8_4_4 + b3_g4,4,1,1,4
g8_4_4 + b3_g4,4,1,2,160
g8_4_4 + b3_g4,4,1,3,19
g8_4_4 + b3_g4,4,1,4,94
g8_4_4 + b3_g4,4,1,5,62
g8_4_4 + b3_g4,4,1,6,11
g8_4_4 + b3_g4,4,1,7,28
g8_4_4 + b3_g4,4,1,8,20
